marketplace_url,name,name_alternate,description,opening_hours,location,area,size,province,canton,district,postal_code,address,phone,email,website,facebook,instagram,opening_date,operator,branch,marketplace_type,parking,bicycle_parking,fairground,indoor,toilets,handwashing,drinking_water,food,drinks,handicrafts,butcher,dairy,seafood,spices,garden_centre,florist,other_services
buenosaires,Buenos Aires,,,Th 07:00-14:00,SRID=4326;POINT (-83.3317039646372 9.17455309613615),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",S,Puntarenas,Buenos Aires,Buenos Aires,60301,100 metros norte y 200 este del Banco Popular,26904017,cacba.ba@hormail.com,,https://www.facebook.com/CACBUENOSAIRES/?locale=es_LA,,2010-03-18,Junta Directiva de la Dirección Regional Brunca,Brunca,feria,surface,false,false,true,true,true,true,true,true,false,false,true,true,false,true,true,
canas,Cañas,Feria Municipal del Agricultor de Cañas,,We 07:00-20:00,SRID=4326;POINT (-85.0932470490757 10.4308518095706),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",M,Guanacaste,Cañas,Cañas,50601,"En el salón de eventos municipal, costado norte del mercado mpal.",26904017,rosario.araya@municana.go.cr,,,,2006-02-04,Municipalidad de Cañas,,mercado,surface,true,false,true,true,true,true,true,true,true,false,true,false,false,true,true,
ciudadcolon,Ciudad Colón,,,Sa 05:00-13:00,SRID=4326;POINT (-84.2414218067976 9.91490346610088),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",S,San José,Mora,Colón,10701,Mercado viejo municipal contiguo a la iglesia,24185712,centroagricolademora@hotmail.com,https://mora.go.cr/,,,1990-02-08,Centro Agrícola Cantonal de Mora,Central Central,feria,lane,false,true,true,true,true,true,true,true,false,false,true,true,true,false,false,
ciudadneily,Ciudad Neily,,,Sa 06:00-16:00,SRID=4326;POINT (-82.9412294365968 8.64874177630325),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,Puntarenas,Corredores,Corredor,61001,frente al mercado de Ciudad Neily,27835735,,,https://www.facebook.com/dprendas/,,,,Brunca,feria,lane,false,false,true,false,false,false,true,true,true,false,true,false,,true,true,
ciudadquesada,Ciudad Quesada,Feria del Agricultor y Artesanos de Ciudad Quesada ,,Th 10:00-20:00; Fr 07:00-13:00,SRID=4326;POINT (-84.4362547985586 10.3318745225115),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",M,Alajuela,San Carlos,Quesada,21001,"Ciudad Quesada, Barrio Arcoíris, 100 metros al oeste de la terminal de buses",89471548,,,https://www.facebook.com/people/Feria-del-Agricultor-Ciudad-Quesada-Corefa-RHN/100027716936131/,,2018-03-18,Asociación de Venderdores de Artesanías y Cultivos Agrícolas de la Feria de Ciudad Quesada,Huetar Norte,mercado,surface,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,
cobano,Cóbano,,,Fr 06:00-14:00,SRID=4326;POINT (-85.1065589753519 9.68822530252069),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",S,Puntarenas,Puntarenas,Cóbano,60111,en el parqueo de la Municipalidad de Cóbano,8774 3868,,,https://m.facebook.com/feriadelagricultordecobano/,,2009-07-11,Asociación mixta de productores y agroindustriales cobano,Pacífico Central,mercado,street_side,false,true,true,true,true,true,true,true,true,false,false,true,false,true,true,
coronado,Coronado,Feria del agricultor de San Isidro de Coronado,,Su 05:00-13:00,SRID=4326;POINT (-84.0079179729213 9.97848345687974),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",L,San José,Vázquez de Coronado,San Isidro,11101,300 metros al sur de la iglesia católica.,22294023,bequiros@caccoronado.com,centroagricolacantonaldecoronado.com,,https://www.facebook.com/feriacoronado?mibextid=ZbWKwL,2020-01-30,Centro agrícola cantonal de Coronado,,feria,surface,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,repostería
cuatroreinas,Cuatro Reinas de Tibás,,,Su 05:00-13:00,SRID=4326;POINT (-84 9.9),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,San José,Tibás,Leon XIII,11304,detrás de la antigua Cruz Roja de Cuatro Reinas,,,,,,,,,,street_side,false,true,true,false,false,false,true,false,false,false,true,false,,false,false,
curridabat,Curridabat,,,Sa 05:00-13:00,SRID=4326;POINT (-84.0435626566835 9.91394119712975),"SRID=4326;POLYGON ((-84.04247330501674 9.914632563280689, -84.04239246156067 9.9146277950233, -84.04246377060188 9.91362410626312, -84.04252824839202 9.913637502836611, -84.0425200969912 9.913726882118745, -84.04283362207933 9.913747565265545, -84.04282989213243 9.91387527644352, -84.04252307256681 9.91385711161115, -84.04247330501674 9.914632563280689))",S,San José,Curridabat,Curridabat,11801,costado Oeste del Estadio de Fútbol Lito Monge,22807247,osvaldo.sanchez@curridabat.go.cr,https://www.curridabat.go.cr/inicio/servicios/feria-del-agricultor/,,,2006-02-02,Municipalidad Curridabat,Central Oriental,mercado,lane,false,false,false,true,true,true,true,true,true,false,false,false,false,false,false,
desamparados,Desamparados,Feria de la Villa Olímpica,,Sa 05:00-13:30,SRID=4326;POINT (-84.0509264100389 9.88864048392755),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",L,San José,Desamparados,Desamparados,10301,"en la Villa Olímpica de Dos Cercas, calle principal",25440014,ferias@cdad.co.cr,,https://www.facebook.com/pages/Feria-Del-Agricultor-Desamparados/240767100129908,,,Centro Agrícola Cantonal Frailes Desamparados ,,feria,surface,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,
elmolino,El Molino,Feria del agricultor barrio El Molino,,Sa 05:00-12:00,SRID=4326;POINT (-83.9272722910491 9.86459462707843),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",M,Cartago,Cartago,Occidental,30102,costado oeste del anfiteatro,70045818,dane.dsc@gmail.com,,https://www.facebook.com/people/Feria-del-Agricultor-del-Molino/100057653520957/,,1992-04-12,Centro Agrícola Cantonal de Oreamuno,Central Oriental,feria,street_side,false,true,false,true,true,true,true,true,true,false,true,false,true,true,true,
escazu,Escazú,,,Sa 05:00-13:00,SRID=4326;POINT (-84.1399582999591 9.91948050267515),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",L,San José,Escazú,Escazú,10201,200 metros desde el costado norte de la Iglesia Católica hasta la Escuela República de Venezuela ,22883957,,,https://www.facebook.com/centroagricolacantonaldeescazu/?locale=es_LA,https://www.instagram.com/feriasdelagricultorescazu/?hl=en,1984-03-08,Centro Agrícola Cantonal de Escazú ,,feria,lane,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,
esparza,Esparza,,,Fr 08:00-20:00; Sa 06:00-11:00,SRID=4326;POINT (-84.6561068392184 9.9992585512615),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",M,Puntarenas,Esparza,Espíritu Santo,60201,"150 metros del costado este del BCR, en Marañonal de Esparza",21010151,,,https://www.facebook.com/CentroAgricolaDeEsparza,,2001-10-22,Centro Agrícola Cantonal de Esparza ,Pacífico Central,feria,lane,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,
filadelfia,Filadelfia,,,Fr 12:00-20:00; Sa 06:00-14:00,SRID=4326;POINT (-85.5519397150501 10.4455992782638),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",S,Guanacaste,Carrillo,Filadelfia,50501,Diagonal a la coopeguanacaste,63731256 y 62252803,centroagrícolacarrillo@gmail.com,,,,2021-12-15,Centro agrícola cantonal de carrillo,,feria,surface,false,true,true,true,true,true,false,false,true,false,false,true,true,true,true,
grecia,Grecia,,,Fr 08:00-20:00; Sa 06:00-13:00,SRID=4326;POINT (-84.3066514752 10.0803283795137),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",XL,Alajuela,Grecia,Grecia,20301,Frente a El Lagar Grecia,24947360,centroagricola.grecia@gmail.com,,https://www.facebook.com/laferiadelagricultor/?locale=es_LA,,2008-03-26, Centro Agrícola Cantonal de Grecia,Central Occidental Oeste,feria,surface,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,
guachipelin,Guachipelín de Escazú,,,Su 05:00-13:00,SRID=4326;POINT (-84.1593069035947 9.94424167345582),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",M,San José,Escazú,San Rafael de Escazú,10203,en el gimnasio de la escuela Guachipelín,22883957,@feriasdelagricultorescazu,,https://www.facebook.com/people/Feria-Agricultor-Guachipel%C3%ADn-Escaz%C3%BA/100057072895377/,,2019-03-08,Centro Agrícola Cantonal de Escazú ,Central Central,feria,street_side,false,false,true,true,true,true,true,true,true,false,true,false,true,true,true,
guadalupe,Guadalupe,,,Fr 17:00-20:30; Sa 05:00-13:45,SRID=4326;POINT (-84.0558002186302 9.94801942919447),"SRID=4326;POLYGON ((-84.05615321011281 9.948252738236983, -84.05602103797717 9.947999489191197, -84.05559324659406 9.948215793196898, -84.05574364936912 9.948479733425104, -84.05565573368222 9.94852565669139, -84.05549977789634 9.948265132368212, -84.05553299118765 9.94824560722538, -84.05523243709467 9.947728623949262, -84.05578353675084 9.947404353160822, -84.05622705467978 9.948210158561922, -84.05615321011281 9.948252738236983))",XL,San José,Goicoechea,Guadalupe,10801,barrio Moreno Cañas: Frente al Instituto de Enseñanza General Básica América Central (Escuela América Central) ,22530333 ,alcaldia@munigoicoechea.go.cr,,https://www.facebook.com/munigoicooficial,,1995-07-11,Municipalidad de Goicoechea ,Central Central,mercado,surface,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,
guapiles,Guápiles,,,Sa 05:00-13:00,SRID=4326;POINT (-83.7901288591029 10.2153343864319),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,Limón,Pococí,Guápiles,70201,al costado norte de MUCAP,27633039,,,https://www.facebook.com/people/Feria-del-Agricultor-Guapiles/100054337069796/,,,,Atlántico,feria,lane,false,false,false,false,true,false,true,true,true,true,true,true,,true,true,
hatillo,Hatillo,,,Su 05:00-14:00,SRID=4326;POINT (-84.1033432422827 9.91890478210958),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",XL,San José,San José,Hatillo,10110,Entre Hatillo 2 y Hatillo 4,22825986,cacsa@ice.co.cr,,https://www.facebook.com/juntanacionaldeferiasdelagricultor/?locale=es_LA,,1983-01-20,Centro Agricola Cantonal Santa Ana,Central Central,feria,lane,false,false,false,true,true,true,true,true,false,true,true,true,true,true,true,
heredia,Heredia,Feria de La Perla,,Fr 10:00-19:00; Sa 06:00-14:00,SRID=4326;POINT (-84.1256062268032 10.0061858815201),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",XL,Heredia,Heredia,Mercedes,40102,"500 metros este de la Parroquia de Mercedes Norte de Heredia, Campo Ferial La Perla",40335669,fgarita@heredia.go.cr,,https://www.facebook.com/laperlacampoferial/?locale=es_LA,,1986-03-12,Asociación Pro-Administradora de la Feria del Agricultor de Heredia,,feria,surface,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,
jaco,Jacó,,,Th 14:00-20:00; Fr 06:00-12:00,SRID=4326;POINT (-84.6230747016045 9.60845064366271),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",S,Puntarenas,Garabito,Jacó,61101,"Jacó centro, costado oeste de la clínica",83883152,cacorotina@gmail.com,,,,2008-07-18,Centro Agrícola Cantonal Orotina,Pacífico Central,feria,street_side,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,
jicaral,Jicaral,Mercadito de Jicaral,,Fr 06:00-14:00,SRID=4326;POINT (-85.1138037229245 9.96100053589772),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",S,Puntarenas,Puntarenas,Lepanto,60104,Contiguo al Consejo  Municipal,26500408,cacjicaral@gmail.com,,https://www.facebook.com/people/Feria-del-Agricultor-Jicaral/100080223071638/,,2001-07-04,Centro Agrícola Cantonal Jicaral,Pacífico Central,feria,surface,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,
capri,La Capri de San Miguel,,,Su 05:00-14:00,SRID=4326;POINT (-84.0609734063933 9.86591137717061),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",M,San José,Desamparados,San Miguel,10302,al costado oeste de la plaza de deportes La Capri,25440014,feriacacd.co.cr,,https://www.facebook.com/p/CAC-Frailes-Desamparados-100057088135336/?locale=es_LA,,1999-04-08,Centro Agrícola Cantonal de Frailes,Central Oriental,feria,lane,false,false,false,true,true,true,true,true,true,false,true,false,true,true,true,
