product_url,category,common_name,common_name_alternate,description,name_origin,center_origin_notes,food_basket,nutrition_notes,preparation_notes,storage_notes
arugula,verdura,arúgula,"rúcula, aballicos, alhuceña, aruga, arugua, berza alhuceña, eruca, eruga, hierba meona, jamargo, jamargo blanco, jamarguillo, jaramago, oruga, oruga blanca, oruga de barrancos, oruga pestosa, oruga roqueta, oruga vejigosa, pestosas, picograjo, rabaniza blanca, roqueta, ruca, rucas, ruqueta, tamarillas.  ","Sinónimo de vitalidad y elegancia en los platos, la arúgula es una hierba de sabor picante que puede ser combinada con sus ensaladas habituales para darles un toque extra de sabor y un impulso de calcio a su dieta.",,"Desde su cuna en Etiopía hasta la antigua Roma, la arúgula conquista platos. En Italia, es complemento de ensaladas y pizzas. En Turquía, acompaña cruda al pescado, mientras que en Asia Occidental, sus semillas se transforman en el aceite de taramira. En tiempos recientes, su influencia se expande en restaurantes de América.",False,"Su alto contenido de vitaminas K y C, contribuye a prevenir enfermedades cardiovasculares y mejorar el sistema inmunológico. Sus elevados niveles de vitaminas del complejo B ayuda a prevenir síntomas de anemia y depresión, a metabolizar los azúcares y fortalecer la masa muscular.  ",,Guardar las hojas en un recipiente envueltas en papel de cocina para que absorba la humedad
ayote,verdura,ayote,,"Ya sea como fruta u hortaliza, el ayote se consume de múltiples maneras: al vapor, frito, relleno, hervido, crudo, al horno, seco, en puré, en pasteles e, incluso, encurtido. El reino de la vitamina A tiene plantada una bandera en el ayote.  ",,"Mesoamérica y la región Andina son las cunas del ayote. Preparado con tocino, cebolla, ajo y chile serrano, el ayote (calabaza en México) a la mexicana es un plato abanderado de la cocina azteca.",True,"Fuente de vitamina A, pilar de la salud visual y celular, y del crecimiento, el ayote aporta además vitaminas B1 y B2, que mejoran los procesos metabólicos, y vitaminas C y E, que amurallan el sistema inmunológico y previenen diversos tipos de cáncer. ",,En un lugar donde no haya mucha humedad
banano,fruta,banano,"banana, plátano, guineo","Fuente de minerales y vitaminas, si usted desea reducir el cansancio, evitar fatigas y alargar la salud de su corazón, no deje pasar nunca la ocasión de comerse un banano. Recuerde que al comerlo está usted, no solo alimentándose, sino también honrando la fama mundial de los bananos costarricenses.",,El archipiélago Indo-Malayo es la cuna del banano. Los buñuelos de banano son un plato típico de la comida callejera malaya y comer sobre hojas de plátano es costumbre ancestral en la India.,True,"Minerales como el magnesio, el hierro, el potasio, el zinc  y el manganeso, presentes en altas dosis en el banano, contribuyen a robustecer la salud muscular. Rico en calcio, el banano fortalece dientes, huesos y cabello.",,Nunca debereían de ser conservados en el refrigerador. Pueden congelarse sin cáscara si se ponen oscuros y usarse en preparaciones como batidos.
berenjena,fruta,berenjena,,"La berenjena, no es sólo un emoji popular, sino que también es una fuente enorme de fibra y potasio con una bajísima cantidad de calorías por porción. Estas propiedades la convierten en un alimento completo y saludable, además de ser un excelente aliado para las personas que buscan perder peso.",,"Como almas gemelas, la berenjena es el complemento perfecto en guisos y curries históricamente elaborados en la región subcontinental de la India, tierra donde este fruto de numerosos nombres dio sus primeros pasos.",False,"La fibra de la berenjena favorece el buen estado de la flora bacteriana, mientras sus antocianinas provocan un efecto antioxidante. Compuestos químicos presentes en su piel y semillas, estimulan el buen funcionamiento del hígado. ",,Envolverla en servilletas y guardar en una bolsa que no debe de estar sellada
berro,verdura,berro,"mastuerzo, nastuerzo, berraza, berra, berro de agua, mastuerzo de agua, agrón  ","Berro, berro, ¿qué ves? Mucha vitamina C y amplios minerales. El berro es considerado uno de los vegetales más nutritivos y usted está de suerte porque su distintivo sabor picante, parecido al de la mostaza, lo convierte en una adición perfecta para las pastas, pizza, tortas de huevo y ensaladas.",,"Utilizada hasta el Renacimiento como medicina y refrescante para el aliento, esta poderosa hierba etíope, se dice que cura resacas y ha servido a los soldados como remedio contra el hambre a lo largo de la historia.",False,"El berro ofrece notables valores de vitamina A, muy importante para la salud de la visión, la piel, las membranas mucosas y el desarrollo embrionario. Sus útiles cantidades de vitaminas del complejo B son necesarias para prevenir enfermedades coronarias y accidentes cerebrovasculares.",,Guardarlo envolviéndolo en papel toalla un poco humedecida
bokchoy,verdura,bok choy,,¿Cansado de lo cotidiano en su plato? El bok choy es una variedad de col china que se puede comer crumarinada. Hágale justicia al añadirla a sopas o fideos. Con estas maravillosas notas herbáceas bailando entre las verduras y carnes podrá elevar sin mucho esfuerzo el perfil de sabor de sus platos.,,"Esta verdura tiene una diversidad de preparaciones, ya sea en ensaladas o al vapor. La encontramos mucho en la comida asiática, especialmente en el Kimchi, que es un platillo Coreano.",False,"Antioxidantes como el ácido fólico, las vitaminas C y E, y el betacaroteno, son componentes esenciales del bok choy, cuya también notable riqueza en calcio, magnesio y zinc, ayuda a fortalecer nuestros huesos. ",,Puede guardarse en una bolsa de plástico en el refrigerador
brocoli,verdura,brócoli,,"Ganador en textura, practicidad y nutrición, el brócoli es uno de los mejores vegetales que puede incorporar a su dieta. Si necesita una ensalada rápida, hiérvalo y está listo para acompañar carnes, sopas, pastas y más. Si se siente creativo, áselo y acompáñelo con queso cheddar.",,"Planta originaria de los países mediterráneos orientales, antes de ser utilizada como alimento en Europa, esta tuvo fines medicinales. El brócoli se encuentra muy presente en la cocina italiana, debido a que fue un alimento importante para el Imperio Romano. Podemos notar este alimento en preparaciones como pastas, cocida o, inclusive, en jugos.",False,"El sulforafano, compuesto azufrado del brócoli, evita que las células cancerígenas se desarrollen, al tiempo que sus altas dosis de vitaminas B1, B2 y B6, y de yodo, manganeso, zinc y cobre, combaten sin cuartel a la anemia ferropénica.",,Puede guardarse en un recipiente con un poco de agua en el fondo para que se mantenga fresco
camote,raiz,camote,,"El camote es un tubérculo dulce oriundo de América Central y Suramérica. Rico en potasio, vitaminas B y C, y fibra, se vuelve parte importante de la mesa por su valor nutritivo, su variada y fácil cocción y su muy asequible valor monetario en las tarimas de cualquier feria.",,"De raíz mesoamericana, al camote, que no es tubérculo sino raíz, se le llama “la comida de pobres”. El camote horneado bañado en leche condensada es plato habitual de la comida mexicana.",True,"La elevada cantidad de potasio del camote reduce la presión arterial, mientras sus flavonoides reducen las inflamaciones y funcionan como eficientes antioxidantes. La vitamina A que posee el camote es nutriente básico para combatir infecciones.",,En un lugar seco y oscuro
carambola,fruta,carambola,,"¡Esta fruta es toda una estrella! Literalmente... La carambola es muy conocida por su delicioso sabor a la hora de tomarla en un refresco natural, pero también por ser un ícono tropical por las porciones en forma de estrella que se forman al rebanarla.",,"La carambola o fruta estrella es nativa del sudeste asiático, donde se le consume con frecuencia madura, guisada con azúcar y clavo de olor, y en ocasiones con manzana. En Tailandia suele comerse con camarones.",True,"Su carga de vitaminas A y C le da notable valor antioxidante a la carambola, y una mejor preparación al organismo para contrarrestar infecciones, formar glóbulos rojos y fortalecer los huesos. Su aporte en potasio sirve para el mejoramiento de la actividad muscular. ",,"Si al comprarla está verde, se debe guardar a temperatura ambiente. Si está madura, debe refrigerarse."
cas,fruta,cas,,Una de las especialidades de Costa Rica y una buena elección para convertir en jugo. El cas promete un profundo sabor agridulce con una potente dosis de vitamina C en cada sorbo.,,"Originario de Centroamérica, se presume que el cas nació en Costa Rica. Esta fruta, extendida desde el sur de México hasta Ecuador, recibe diversos nombres, desde guayaba ácida hasta guayaba de agua, ya que se consume principalmente en refrescos.",True,"El cas fortalece el sistema inmunológico con su alto contenido de vitamina C, sin demeritar el valor antioxidante y preventivo del cáncer de los componentes fenólicos presentes en su cáscara y pulpa.  ",,"Si al comprarlo está verde, se debe guardar a temperatura ambiente. Si está maduro, debe refrigerarse."
cebolla,verdura,cebolla,,"La cebolla marca un antes y un después en nuestra cultura culinaria. Es integrante de la tríada fantástica de la sazón, junto con el chile dulce y el ajo. Su inigualable sabor la hace esencial en sofritos, ensaladas, salsas y más. Nos hizo llorar, pero ¡eran lágrimas de alegría!",,Verdura proveniente de Asia Central y conocida por ser una de las mejores hortalizas para sazonar cualquier platillo salado. En América llegó junto con los primeros colonizadores y nuestro país es muy utilizada como sazonador base del arroz y el gallo pinto. ,True,"Los elementos antioxidantes de la familia de los flavonoides presentes en la cebolla, son antiinflamatorios, vasodilatadores, analgésicos y protectores contra el cáncer por excelencia, especialmente los cánceres de mama, próstata y colon.",,En un lugar oscuro y aireado
cebollino,verdura,cebollino,,"El cebollino es un delgado tallo hueco de grato aroma que suele cortarse en diminutos pedazos y agregarse a platos de carne, huevos, papas al horno, ensaladas o sopas, para que su aporte a la mezcla de colores y olores enriquezca nuestras producciones culinarias.",,"Con orígenes velados, el cebollino es un presunto nativo de Europa y China. Todas sus partes, excepto el bulbo, son comestibles: desde la flor hasta las hojas. En la cocina asiática, deslumbra en pancakes de kimchi, gyoza y variadas sopas.",False,"Como parte de la familia allium, el cebollino contiene componentes con propiedades anticancerígenas y, en cantidades reducidas, aporta colina, nutriente clave para el bienestar emocional y el sueño reparador.",,Puede guardarse en un recipiente con un poco de agua en el fondo para que se mantenga fresco
chan,otro,chan,,"¡La parte más importante del fresco de chan! Las semillas de chan, también conocidas como chia, son únicas. Estas absorben más de 10 veces su peso en agua, lo que las convierte en un alimento saciador, además de darle esa textura gelatinosa al fresco.",,"Provenientes de Mesoamérica, estas semillas son la elección predilecta en América Central y del Sur para garantizar el toque extra saludable en bebidas, desde limonadas hasta tés.",False,"Su alto contenido en proteínas y fibra, sumado a su fácil consumo, le han ganado el título de superalimento. No solo eso, sus proteínas globulinas ayudan a reducir los niveles de colesterol y azúcar en la sangre.",,En un lugar seco y a temperatura ambiente
chayote,verdura,chayote,,En Costa Rica el chayote es la punta de lanza de las hortalizas. Un picadillo que incluya cubitos crudos de raíz de chayote - ese controlador natural de los niveles de azúcar en sangre - es una estampilla de la cocina tica tradicional.,,"Producto importante en la época precolombina ya que fue perteneciente a la dieta de la cultura maya y azteca. Nuestro país y México son los principales productores de esta deliciosa verdura, con ella podemos realizar el famoso picadillo de chayote  o las “chancletas” plato típico de nuestra cocina costarricense. ",True,"Hidratante alimento, fuente destacada de fibra y flavonoides, componentes apreciados por sus propiedades antiinflamatorias, anticancerígenas y antioxidantes. Todas sus partes son apreciadas en la medicina tradicional.",,Puede guardarse en una bolsa de plástico sin sellar
chiledulce,verdura,chile dulce,,"Multifuncional verdura que contiene altas dosis de vitaminas C, E y antioxidantes, el chile dulce es parte de la tríada fantástica de la sazón, junto con el ajo y la cebolla, y puede comerse triturado, crudo, asado. No prescinda usted de la posibilidad de incorporar un proteico chile dulce a su dieta diaria.",,"De raíz mesoamericana, el chile dulce, ya sea en su variante verde o roja, es ingrediente común en picadillos, escabeches y guisos de la cocina yucateca, de Tabasco y Chiapas, estados del sur mexicano.",True,"Su alto contenido de vitamina C, vitamina E y carotenoides, convierten al chile dulce en un eficaz antiinflamatorio y antioxidante. Las grandes cantidades de fibra del chile dulce, ayudan a mantener nuestro sistema digestivo en movimiento.",,Se pueden colocar en bolsas de plástico perforadas antes de meterlos al refrigerador
chilepicante,verdura,chile picante,,"Pequeño pero matón. El chile picante es infaltable en la comida caribeña. No sólo brilla en salsas, sino que también añade personalidad a sus platos, lo cual hace de cada bocado una experiencia intensa.",,"Aunque de uso extendido a las culturas asiáticas, por su origen, se identifica al Chile Picante con Mesoamérica. Dígase México y ya estará usted pensando en una variedad abrumadora de platos que incluyen al chile picante. Con el chile poblano, un pimiento verde picante, se elabora el plato nacional mexicano: los chiles en nogada.",False,"Las propiedades antiinflamatorias y antioxidantes de la capsaicina, componente básico del chile picante, ayudan a mantener un sistema cardiovascular saludable y a disminuir la presión arterial, pero además tienen un efecto beneficioso para la formación de la microbiota intestinal y el control del peso corporal.",,Se pueden guardar en tarros de vidrio en la despensa
chilote,verdura,chilote,"maíz baby, mini mazorca","Desde Paso Canoas hasta Peñas Blancas, un buen guiso caliente de chilote es plato que se invita solo a la mesa de los costarricenses. Su presencia y dulce sabor es también acompañante de sopas, picadillos, carnes, e, incluso, vinagretas. ",,"Aunque el maíz tiene sus raíces en Mesoamérica, el chilote, una variedad aún sin madurar, revela sus primeros usos culinarios en Asia, especialmente en China y Tailandia, sus principales productores y consumidores hasta hoy. En esta región, es común encontrar el chilote en platos como currys, salteados o como deditos fritos.",False,"Excelente fuente de potasio, ácido fólico y vitamina E, conocida por ser antioxidante y anticuagulante. Si busca cuidar sus niveles de azúcar en sangre, considere el chilote antes que el maíz, pues este primero tiene un índice glucémico menor.",,
ciruela,fruta,ciruela,,"Ya sea cruda, en batidos acompañando a otras frutas, o en mermeladas, pasteles o pudines, la dulce ciruela será siempre una apetecible fruta. Muro de contención de la diabetes, es admirable su capacidad para reducir los niveles de glucosa en sangre.",,"La ciruela se consume tradicionalmente seca o deshidratada en la región caucásica y en Persia, sus lugares de origen. No todas las ciruelas se comen de esta manera, pero el consumo de la variedad que se cultiva para secar ya se ha extendido por todo el mundo.",False,"Considerada un antioxidante superior, la ciruela es además una fuente destacada de vitaminas A y B y un regulador de los efectos nocivos de los radicales libres. Su variedad en pasa actúa como un laxante natural, promoviendo la salud del tracto gastrointestinal.",,Separar las ciruelas duras de las suaves
coco,fruta,coco,pipa,"Si no desea complicarse en la cocina elaborando postres, helados, o flanes de coco, siempre le quedará la opción de disfrutar crudos su pulpa y su refrescante jugo. No obstante, tome en cuenta que al hacer un auténtico rice and beans caribeño, sería casi un sacrilegio no incluir el aceite de coco en la cocción. ",,"El coco ha tenido un papel muy importante en la historia de la humanidad, no solo ha sido un alimento sino también es fuente de agua y aceite. Por su resistencia se utilizó como material de construcción para los hogares en las zonas tropicales. Y observamos que en la India y Asia el coco se ha utilizado con fines medicinales.",True,"El coco, en todas sus formas, rebosa de antioxidantes y colesterol saludable que ayuda a eliminar el colesterol no deseado del cuerpo. Además, posee propiedades antibacterianas y es una fuente excepcional de hidratación. Como prueba de su naturaleza integral, en casos extremos, es factible mantener una dieta saludable centrada en gran medida en coco.",,"Una vez partido, se puede sumergir en un recipiente con agua y colocarlo en el refrigerador"
coldebruselas,verdura,col de Bruselas,,"Col de bruselas o repollito: digestiva, antiinflamatoria verdura de renombre como antibiótico natural. Se deja comer lo mismo hervida que asada, al horno, preferiblemente con mantequilla, como ensalada o salteada como guarnición. No solo el buen perfume viene en envase pequeño: ahí está la Col de Bruselas como prueba para demostrarlo.",,"Llamadas así en honor a la ciudad que las cultivó por primera vez, Bruselas en Bélgica, esta verdura sufrió de mala fama debido a su amargo sabor. Sin embargo, gracias a la polinización cruzada, las nuevas generaciones exhiben un delicioso sabor. En la actualidad, en Bélgica se disfrutan hervidas, acompañadas de cebolla y mantequilla.",False,"Con más del doble de las proteínas que aporta el repollo, la col de bruselas ha sido incluida dentro de la lista de los mejores vegetales, pues contiene altos niveles de los 17 nutrientes esenciales que previenen problemas del corazón y el cáncer.",,Colocarla en el lugar menos frío del refrigerador y es importante no guardarlas en bolsas herméticas
coladecaballo,hierba,cola de caballo,,"Con solo ver esta hierba, es claro de dónde viene su nombre. La cola de caballo, no sólo ayuda como un diurético natural, sino que también tiene grandes usos en el jardín, dónde se puede utilizar como pesticida natural.",,"De origen mediterráneo, la cola de caballo es un diurético natural cuyos tallos ocasionalmente se consumen en la costa sur de España, lo mismo que los espárragos, fritos o al vapor.",False,"La cola de caballo destaca como un diurético natural ideal para combatir problemas renales. Ninguna otra planta posee una concentración mayor de sílice, por lo que esta hierba es ideal para potenciar la generación de colágeno y el crecimiento del cabello.",,
coliflor,verdura,coliflor,,"Rica en potasio, fósforo y vitaminas B y C, la coliflor puede comerse cruda, al vapor, hervida, e, incluso, frita. Si usted quiere adelgazar o controlar su hipertensión, inclúyala con frecuencia en su menú. En el podio de premiaciones para las verduras, siempre habrá una medalla reservada para la coliflor.",,"Oriunda del Mediterráneo Oriental y el Asia menor, la coliflor, cultivada en tiempos ancestrales para ser empleada como fármaco natural contra diarreas y dolores de cabeza, hoy se incluye en incontables recetas gastronómicas. El estofado libanés de coliflor es una gema gourmet del Cercano Oriente.",False,"Su notable cantidad de fibra mejora el funcionamiento del tránsito intestinal, y su riqueza en potasio y fósforo refuerza huesos y músculos, a la vez que su alto contenido de vitaminas C y B ayuda a prevenir la anemia y contribuye al crecimiento celular.",,Conservarla en el cajón de las verduras del refrigerador
cubaces,legumbre,cubaces,,"No hay mejor leguminosa que los cubaces para robarse el show en cualquier mesa donde se sirva un chifrijo. Para comer con carnes, lomo, costillas o patas de cerdo, en guisos o con verduras, tampoco dejan los calóricos y proteicos cubaces que los bajen de la tarima. ",,"Los frijoles, nativos de América Central y del Sur, encuentran una variante única nacida en Costa Rica, los frijoles cubaces. A diferencia de los frijoles convencionales, estos se disfrutan principalmente con carnes, como en el popular plato típico ""chifrijo"".",False,"El folato presente en los cubaces es elemento de peso en la formación de glóbulos rojos sanos y muy necesario en la prevención de malformaciones fetales en mujeres embarazadas. Ricos en fibra, también reducen los niveles del colesterol dañino.",,En un lugar con poca luz y humedad
culantro,hierba,culantro,,"Ya sea como un ingrediente que aporta su aroma y su sabor ligeramente cítrico y refrescante en salsas, frijoles, sofritos, cremas; o en ensaladas, ceviches, incluso como té, el aporte de las hojas de culantro se agradece siempre en el paladar, y en nuestra salud, por su valor agregado como analgésico y antiinflamatorio.  ",,"De origen incierto, parece haber tenido el culantro su cuna en el Mediterráneo oriental, donde se le utiliza para condimentar las carnes. En la región Oriental del África mediterránea es ingrediente insustituible del cuscús y el falafel.",True,"Antioxidantes como la quercetina, los tecoferoles y el terpinene, presentes en el culantro, pueden estimular favorables efectos anticancerígenos,neuroprotectores e inmunoestimulantes en el organismo.",,Guardar en un recipiente cubierto con papel absorbente
culantrocoyote,hierba,culantro coyote,,"Rico en ácido fólico y vitaminas A y C, el culantro coyote es hierba aromática con un sólido aroma que se agradece al elaborar sopas, frijoles, carnes, guisos y aderezos. Fuente también generosa del necesario hierro, no hay anemia que se atreva a plantarle cara al culantro coyote. ",,"Originario de América Tropical, el culantro coyote se erige como un elemento clásico en la gastronomía amazónica del Perú. En Panamá, donde su demanda es elevada, se fusiona con perejil, ajo y cebolla para dar vida al ""recao verde"", un condimento esencial en sopas y guisos. En México, encuentra su propósito en la sazón del arroz.",True,"A los monoterpenos, fenilpropanoides y sesquiterpenoides encontrados en los aceites esenciales de esta planta, se les atribuyen efectos antiinflamatorios, antioxidantes, anticonvulsionantes, antihelmínticos y anticonceptivos. El hierro, calcio y vitamina C que le acompañan, contribuye a paliar las anemias.",,Guardar en un recipiente cubierto con papel absorbente
curcuma,raiz,cúrcuma,,"Cúrcuma: Colorante infalible y aromatizante proveniente de la India, la cúrcuma puede utilizarse fresca o seca. Utilícela seca como condimento de arroces, sopas o asados a la parrilla. Como parte de adobos o al marinar, aproveche la raíz fresca de esta especia ya infaltable en la cocina. Además, con ella se hace un excelente té, el cual es muy recomendado a causa de sus propiedades antiinflamatorias",,"La cúrcuma, nativa del Archipiélago indo-malayo, es más que una especia. Enraizada en la historia con más de 4000 años de uso medicinal, teñía túnicas budistas y se usaba en rituales matrimoniales hindúes. En los currys característicos de la cocina de la región no falta la cúrcuma como condimento.",False,"Con una amplia historia medicinal, la cúrcuma exhibe potentes propiedades antiinflamatorias y antioxidantes, encerradas en sus curcuminoides. Estos componentes son absorbidos por el cuerpo de manera más eficaz cuando se consumen junto con pimienta negra.",,En un lugar con poca luz y humedad
eneldo,verdura,eneldo,,"Aunque suene como apellido de abuelito, el eneldo es una hierba muy importante en diversas gastronomías mundiales. Su principal fortaleza es la de cargar de aroma y sabor a diversos platillos. Sin embargo, también es muy utilizado en la medicina alternativa",,"Para comer mariscos, pescados o sopas, es habitual el uso del eneldo en toda Europa Continental. La tostada de tomate, feta y eneldo es un bocadillo  usual en la cocina de la región mediterránea, su lugar de origen.",False,"Sus amplias cantidades de hierro, calcio y vitamina D promueven el crecimiento y la regeneración de los huesos. Además de ser un conocido antiinflamatorio, el eneldo es una excelente hierba para bajar los niveles de colesterol malo y triglicéridos.",,Envuelto en papel absorbente en una bolsa de plástico
