marketplace_url,name,name_alternate,description,opening_hours,location,area,size,province,canton,district,postal_code,address,phone,email,website,facebook,instagram,opening_date,operator,branch,marketplace_type,parking,bicycle_parking,fairground,indoor,toilets,handwashing,drinking_water,food,drinks,handicrafts,butcher,dairy,seafood,spices,garden_centre,florist,other_services
cobano,Cóbano,,,Fr 06:30-14:00,SRID=4326;POINT (-85.1065589753519 9.68822530252069),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,Puntarenas,Puntarenas,Cóbano,60111,en el parqueo de la Municipalidad de Cóbano,84447687,,,https://www.facebook.com/107858776078602/posts/478228182374991/,,,Aproinfe,Pacífico Central,mercado,lane,false,true,true,false,false,false,false,true,true,false,true,false,,true,true,
coronado,Coronado,,,Su 07:00-17:00,SRID=4326;POINT (-84.0079179729213 9.97848345687974),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",L,San José,Vázquez de Coronado,San Isidro,11101,"de Correos de Costa Rica, 50 m al oeste ",22294023,,,,https://www.facebook.com/feriacoronado?mibextid=ZbWKwL,,,,feria,surface,false,true,true,true,true,true,true,true,true,true,true,true,,true,true,
cuatroreinas,Cuatro Reinas de Tibás,,,Su 06:00-12:00,SRID=4326;POINT (-84 9.9),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,San José,Tibás,Leon XIII,11304,detrás de la antigua Cruz Roja de Cuatro Reinas,,,,,,,,,,street_side,false,true,true,false,false,false,true,false,false,false,true,false,,false,false,
curridabat,Curridabat,,,Sa 05:00-14:00,SRID=4326;POINT (-84.0435626566835 9.91394119712975),"SRID=4326;POLYGON ((-84.04247330501674 9.914632563280689, -84.04239246156067 9.9146277950233, -84.04246377060188 9.91362410626312, -84.04252824839202 9.913637502836611, -84.0425200969912 9.913726882118745, -84.04283362207933 9.913747565265545, -84.04282989213243 9.91387527644352, -84.04252307256681 9.91385711161115, -84.04247330501674 9.914632563280689))",S,San José,Curridabat,Curridabat,11801,al costado sureste del estadio,22729089,,https://www.curridabat.go.cr/inicio/servicios/feria-del-agricultor/,,,,Municipalidad Curridabat,Central Oriental,mercado,lane,false,false,false,false,true,false,false,true,true,false,true,true,,true,true,
desamparados,Desamparados,Feria de la Villa Olímpica,,Sa 05:00-14:00,SRID=4326;POINT (-84.0509264100389 9.88864048392755),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",XL,San José,Desamparados,Desamparados,10301,en la Villa Olímpica de Dos Cercas  ,25440014,,,https://www.facebook.com/pages/Feria-Del-Agricultor-Desamparados/240767100129908,,,,,feria,surface,false,true,true,true,true,true,true,true,true,true,true,true,,true,false,
elmolino,El Molino,,,Sa 05:00-12:30,SRID=4326;POINT (-83.9272722910491 9.86459462707843),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,Cartago,Cartago,Occidental,30102,"de la iglesia María Auxiliadora de Cartago, 200 m al sur",25367322,,,https://www.facebook.com/people/Feria-del-Agricultor-del-Molino/100057653520957/,,,,Central Oriental,feria,lane,false,false,true,false,false,false,true,true,true,false,true,true,,true,false,
escazu,Escazú,,,Sa 05:00-12:00,SRID=4326;POINT (-84.1399582999591 9.91948050267515),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",L,San José,Escazú,Escazú,10201,al costado sur de la Iglesia católica San Miguel Arcángel ,22883957,,,,https://www.instagram.com/feriasdelagricultorescazu/?hl=en,,,,feria,lane,false,false,false,false,true,true,true,true,true,false,true,false,,true,true,
esparza,Esparza,,,Fr 08:00-20:00; Sa 06:00-13:00,SRID=4326;POINT (-84.6561068392184 9.9992585512615),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,Puntarenas,Esparza,Espíritu Santo,60201,barrio Las Tres Marías: frente a antigua delegación de policía ,26355066,cace@ice.co.cr,,https://www.facebook.com/CentroAgricolaDeEsparza,,,,Pacífico Central,feria,street_side,true,true,true,true,true,true,true,true,true,true,false,true,,true,true,
filadelfia,Filadelfia,,,Sa 08:00-17:00,SRID=4326;POINT (-85.5519397150501 10.4455992782638),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,Guanacaste,Carrillo,Filadelfia,50501,frente a la Cruz Roja. Al costado sur de Gollo ,,,,,,,Municipalidad de Carrillo ,,mercado,lane,true,true,false,true,false,false,true,true,true,false,false,false,,true,false,
grecia,Grecia,,,Fr 08:00-20:00; Sa 06:00-13:00,SRID=4326;POINT (-84.3066514752 10.0803283795137),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",XL,Alajuela,Grecia,Grecia,20301,"del Banco Nacional, 100 m al oeste y 500 m al norte",24947360,centroagricola.grecia@gmail.com,,https://www.facebook.com/laferiadelagricultor/?locale=es_LA,,,,Central Occidental Oeste,feria,surface,false,true,true,true,true,true,true,true,true,true,true,true,,true,false,
guachipelin,Guachipelín de Escazú,,,Su 05:00-13:00,SRID=4326;POINT (-84.1593069035947 9.94424167345582),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",S,San José,Escazú,San Rafael,10203,en el gimnasio de la escuela de Guachipelín,22883957,,,https://www.facebook.com/people/Feria-Agricultor-Guachipel%C3%ADn-Escaz%C3%BA/100057072895377/,,,,Central Central,feria,street_side,false,false,true,true,true,true,true,true,true,true,true,false,,true,true,
guadalupe,Guadalupe,,,Fr 16:00-19:00; Sa 05:00-14:00,SRID=4326;POINT (-84.0558002186302 9.94801942919447),"SRID=4326;POLYGON ((-84.05615321011281 9.948252738236983, -84.05602103797717 9.947999489191197, -84.05559324659406 9.948215793196898, -84.05574364936912 9.948479733425104, -84.05565573368222 9.94852565669139, -84.05549977789634 9.948265132368212, -84.05553299118765 9.94824560722538, -84.05523243709467 9.947728623949262, -84.05578353675084 9.947404353160822, -84.05622705467978 9.948210158561922, -84.05615321011281 9.948252738236983))",XL,San José,Goicoechea,Guadalupe,10801,barrio Moreno Cañas: Frente al Instituto de Enseñanza General Básica América Central (Escuela América Central) ,88888888,alcaldia@munigoicoechea.go.cr,,https://www.facebook.com/munigoicooficial,,,,Central Central,mercado,lane,false,false,true,true,true,true,true,true,true,true,true,false,,true,true,
guapiles,Guápiles,,,Sa 05:00-13:00,SRID=4326;POINT (-83.7901288591029 10.2153343864319),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,Limón,Pococí,Guápiles,70201,al costado norte de MUCAP,27633039,,,https://www.facebook.com/people/Feria-del-Agricultor-Guapiles/100054337069796/,,,,Atlántico,feria,lane,false,false,false,false,true,false,true,true,true,true,true,true,,true,true,
hatillo,Hatillo,,,Sa 06:00-14:00; Su 05:00-14:00,SRID=4326;POINT (-84.1033432422827 9.91890478210958),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",XL,San José,San José,Hatillo,10110,frente al Ebais de Hatillo 2 y 3,22825986,,,https://www.facebook.com/juntanacionaldeferiasdelagricultor/?locale=es_LA,,,,Central Central,feria,lane,false,false,false,false,false,false,true,true,true,true,true,true,,true,true,
heredia,Heredia,Feria de La Perla,,Fr 10:00-19:00; Sa 06:00-14:00,SRID=4326;POINT (-84.1256062268032 10.0061858815201),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",XL,Heredia,Heredia,Mercedes,40102,barrio Mercedes Norte: en el campo ferial La Perla,40335669,fgarita@heredia.go.cr,,https://www.facebook.com/laperlacampoferial/?locale=es_LA,,,,,mercado,surface,false,true,true,true,true,true,true,true,true,true,true,true,,true,false,
jaco,Jacó,,,Fr 05:00-14:00,SRID=4326;POINT (-84.6230747016045 9.60845064366271),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,Puntarenas,Garabito,Jacó,61101,al costado oeste de la clínica de Jacó centro ,24289836,,,,,,Centro Agrícola Cantonal Orotina,Pacífico Central,feria,lane,false,true,true,false,false,false,true,true,true,false,true,false,,true,true,
jicaral,Jicaral,,,,SRID=4326;POINT (-85.1138037229245 9.96100053589772),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,Puntarenas,Puntarenas,Lepanto,60104,en la plazoleta del parque de Jicaral,26500408,,,https://www.facebook.com/people/Feria-del-Agricultor-Jicaral/100080223071638/,,,,Pacífico Central,feria,lane,true,true,true,true,true,true,true,true,false,true,true,true,,true,true,
capri,La Capri de San Miguel,,,Su 07:00-13:00,SRID=4326;POINT (-84.0609734063933 9.86591137717061),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,San José,Desamparados,San Miguel,10302,al costado oeste de la plaza de deportes La Capri,25440014,,,https://www.facebook.com/Feria-del-agricultor-la-Capri-104285888282563/,,,Centro Agrícola Cantonal Desamparados,Central Oriental,feria,street_side,true,false,false,true,true,true,true,true,true,true,true,true,,true,false,
lafortuna,La Fortuna,,,Fr 09:00-17:30,SRID=4326;POINT (-84.6455839337295 10.4695512947623),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,Alajuela,San Carlos,La Fortuna,21007,en el salón comunal de La Fortuna,88356266,,,https://m.facebook.com/p/Feria-del-Agricultor-en-la-Fortuna-San-Carlos-100063299376309/,,,,Huetar Norte,mercado,surface,false,true,true,true,true,true,true,true,true,false,true,true,,true,false,
liberia,Liberia,,,Th 07:00-21:00; Sa 07:00-21:00,SRID=4326;POINT (-85.4458519782092 10.6341339487666),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,Guanacaste,Liberia,Liberia,50101,en el campo ferial de Liberia,86655856,silviabm0201@gmail.com,,https://www.facebook.com/people/Feria-del-Agricultor-de-Liberia/100063481814891/,,,,Chorotega,feria,surface,false,true,false,false,false,false,true,true,true,true,true,true,,true,true,
limon,Limón,,,Fr 05:00-20:00; Sa 06:00-13:00,SRID=4326;POINT (-83.0410194328515 9.98675420559424),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,Limón,Limón,Limón,70101,frente al cementerio del barrio San Juan ,27982586,centagrilimon@gmail.com,,https://es-la.facebook.com/people/Feria-del-Agricultor-de-Limon/100060582653234/,,,,Atlántico,feria,surface,false,true,true,true,true,true,true,false,false,true,true,false,,true,true,
